2747, 159, 3
3206, 159, 4
3660, 159, 5
4117, 159, 6
7830, 160, 7
8340, 160, 8
8849, 160, 9
9361, 160, 10
0, 0, 0
17522, 249, 1
17997, 249, 2
18465, 249, 3
18939, 249, 4
19411, 249, 5
19890, 249, 6
20360, 249, 7
20832, 249, 8
21301, 249, 9
21776, 249, 10
0, 0, 0
2661, 263, 1
12745, 311, 2
13208, 311, 3
13669, 311, 4
14133, 311, 5
14596, 311, 6
15057, 311, 7
15519, 311, 8
15983, 311, 9
16446, 311, 10
0, 0, 0
3499, 328, 1
3948, 328, 2
4399, 328, 3
4849, 328, 4
5302, 328, 5
5746, 328, 6
6183, 328, 7
6634, 328, 8
7086, 328, 9
7522, 328, 10
0, 0, 0
12704, 390, 1
13180, 390, 2
13664, 390, 3
14142, 390, 4
20955, 403, 5
21404, 403, 6
21858, 403, 7
22314, 403, 8
32254, 406, 9
32708, 406, 10
0, 0, 0
10643, 56, 1
16957, 83, 2
17411, 83, 3
17865, 83, 4
18313, 83, 5
18763, 83, 6
19212, 83, 7
19662, 83, 8
20109, 83, 9
20555, 83, 10
539, 84, 1
1033, 84, 2
1530, 84, 3
22797, 153, 4
23257, 153, 5
23712, 153, 6
24167, 153, 7
24623, 153, 8
25076, 153, 9
25530, 153, 10
1877, 160, 1
2379, 160, 2
2880, 160, 3
3386, 160, 4
3889, 160, 5
4389, 160, 6
4888, 160, 7
5395, 160, 8
5901, 160, 9
6402, 160, 10
582, 161, 1
1050, 161, 2
1515, 161, 3
1981, 161, 4
2445, 161, 5
2916, 161, 6
3381, 161, 7
3849, 161, 8
4314, 161, 9
4780, 161, 10
642, 162, 1
1138, 162, 2
1629, 162, 3
2117, 162, 4
2609, 162, 5
3109, 162, 6
3597, 162, 7
4089, 162, 8
4587, 162, 9
5076, 162, 10
3598, 180, 1
4050, 180, 2
4504, 180, 3
4956, 180, 4
5409, 180, 5
5863, 180, 6
6317, 180, 7
6773, 180, 8
7227, 180, 9
7679, 180, 10
0, 0, 0
6396, 33, 1
6829, 33, 2
7256, 33, 3
7683, 33, 4
8114, 33, 5
8539, 33, 6
13503, 42, 7
13933, 42, 8
14363, 42, 9
14795, 42, 10
0, 42, 0
12289, 101, 1
17818, 116, 2
18271, 116, 3
18726, 116, 4
19177, 116, 5
19631, 116, 6
20081, 116, 7
20535, 116, 8
20987, 116, 9
21437, 116, 10
0, 116, 0
22712, 235, 1
23196, 235, 2
23682, 235, 3
24168, 235, 4
24649, 235, 5
35477, 272, 6
35924, 272, 7
36369, 272, 8
36813, 272, 9
52110, 296, 10
0, 296, 0
18343, 391, 1
20293, 396, 2
20744, 396, 3
30294, 433, 4
30747, 433, 5
31201, 433, 6
31656, 433, 7
32107, 433, 8
32566, 433, 9
33016, 433, 10
0, 433, 0
2073, 442, 1
7561, 463, 2
8020, 463, 3
8474, 463, 4
8930, 463, 5
9384, 463, 6
9835, 463, 7
10287, 463, 8
10739, 463, 9
15474, 464, 10
0, 464, 0
11135, 525, 1
12276, 526, 2
21581, 563, 3
22027, 563, 4
22473, 563, 5
22917, 563, 6
23358, 563, 7
23799, 563, 8
33660, 587, 9
34093, 587, 10
0, 587, 0
4403, 612, 1
4868, 612, 2
5326, 612, 3
5786, 612, 4
6243, 612, 5
6702, 612, 6
7161, 612, 7
7623, 612, 8
8079, 612, 9
8542, 612, 10
0, 612, 0
2608, 624, 1
3037, 624, 2
3465, 624, 3
3894, 624, 4
20277, 676, 5
20727, 676, 6
21179, 676, 7
21631, 676, 8
22084, 676, 9
22535, 676, 10
0, 676, 0
442, 676, 1
896, 676, 2
1357, 676, 3
5927, 690, 4
6385, 690, 5
6837, 690, 6
7296, 690, 7
7751, 690, 8
8202, 690, 9
8663, 690, 10
0, 0, 0
1220, 6, 1
1675, 6, 2
2130, 6, 3
4478, 8, 4
4938, 8, 5
5396, 8, 6
5860, 8, 7
6326, 8, 8
6788, 8, 9
7257, 8, 10
0, 8, 0
38032, 211, 1
38482, 211, 2
38929, 211, 3
39373, 211, 4
39819, 211, 5
40263, 211, 6
40711, 211, 7
41157, 211, 8
41605, 211, 9
42055, 211, 10
0, 211, 0
9216, 253, 1
9670, 253, 2
11198, 254, 3
11647, 254, 4
12097, 254, 5
12544, 254, 6
